,time,year,month,mom6m,mom12m,chmom,mom126m,bmom1m
223,223,1998,8,0.014560461499999997,0.028965108,-0.008774944,0.023335405499999996,0
224,224,1998,9,0.044788562699999986,0.047265431600000005,-0.038225578,0.08301414069999999,1
225,225,1998,10,-0.045132828,-0.036398268,-0.064700779,0.019567951,1
226,226,1998,11,-0.045495924000000014,-0.026249148,-0.042257162,-0.003238762000000013,1
227,227,1998,12,0.1099585136,0.1135089953,-0.010562306,0.1205208196,0
228,228,1999,1,-0.098486151,-0.120948429,-0.032329958,-0.066156193,1
229,229,1999,2,-0.021279995,0.00012586270000000002,-0.03036288,0.009082884999999999,1
230,230,1999,3,0.0106157684,0.023620809,-0.000211458,0.010827226399999999,1
231,231,1999,4,0.0048940885,-0.030394061,0.0222931459,-0.017399057399999997,1
232,232,1999,5,-0.0533104,-0.052220229000000014,-0.032388859,-0.020921541000000002,1
233,233,1999,6,0.035494032,0.0525158665,0.0016472779,0.0338467541,0
234,234,1999,7,0.0010592548,-0.017195238999999998,0.0061261352000000005,-0.0050668804,1
235,235,1999,8,0.0542099599,0.0454731535,0.0220866771,0.0321232828,0
236,236,1999,9,0.030682715,0.0597333205,0.0059126822,0.0247700328,0
237,237,1999,10,0.0749753104,0.1030209958,-0.014018475,0.0889937854,1
238,238,1999,11,-0.013626603,0.0445683313,-0.066234073,0.05260747,1
239,239,1999,12,0.0922382496,0.1024258085,0.0501599714,0.0420782782,0
240,240,2000,1,-0.047901221,-0.083169217,-0.023824102000000003,-0.024077118999999998,1
241,241,2000,2,0.19644293420000006,0.1476200335,0.2070865759,-0.010643641699999928,0
242,242,2000,3,-0.060966443,-0.026553741,-0.121032304,0.06006586099999999,1
243,243,2000,4,-0.10037679,-0.059155846,-0.115585732,0.015208942000000003,0
244,244,2000,5,-0.07940064299999999,-0.04697279,-0.05972511,-0.019675532999999995,0
245,245,2000,6,0.161433963,0.1767725888,0.0083180467,0.15311591630000002,1
246,246,2000,7,-0.002826205,-0.047280626,0.0140166105,-0.0168428155,1
247,247,2000,8,0.0907592267,0.0918603265,-0.001202698,0.0919619247,1
248,248,2000,9,0.1183286343,0.0487519246,0.116260184,0.0020684502999999965,0
249,249,2000,10,0.0852999851,0.0118702271,0.0748712875,0.010428697600000009,0
250,250,2000,11,0.1183113922,0.0075698741,0.1553410992,-0.037029706999999995,0
251,251,2000,12,0.1786293519,0.1769476701,0.0778157958,0.1008135561,0
252,252,2001,1,-0.568180393,-0.597303202,-0.350675408,-0.21750498499999998,1
253,253,2001,2,0.1510753128,0.0876133859,0.0734608584,0.0776144544,1
254,254,2001,3,0.1381950817,0.116218757,0.031814940699999995,0.10638014100000001,0
255,255,2001,4,-0.040237716,-0.011418021,-0.094296969,0.054059252999999995,1
256,256,2001,5,0.0130166347,0.0047771315,0.0113107795,0.0017058552000000001,1
257,257,2001,6,0.0472727084,0.0435261784,0.024515614900000003,0.0227570935,0
258,258,2001,7,0.06259932650000001,0.0831522913,-0.0196633,0.08226262650000002,0
